id_paciente,nombre,rut,edad,sexo,fecha_registro,id_medico,FamiliarPrimerGradoCC,FamiliarSegundoGradoCC,DiagnosticoPrevioCancer,Ejercicio,Alcohol,Mamografia,Menstruacion,PrimerHijo,Riesgo
1,Michelle,817097948,91.0,F,9/10/2025,1,False,True,True,<3 horas,Nunca,True,Primer hijo <30,Primer hijo >=30,Bajo
2,Carmelle,464769004,8.0,F,9/10/2025,1,False,False,False,Ninguna,Ocasional,False,Primer hijo <30,Primer hijo <30,Bajo
3,Consuelo,637151220,43.0,F,9/10/2025,1,True,False,False,Ninguna,Ocasional,False,Primer hijo <30,Primer hijo <30,Bajo
4,Marjory,790245753,99.0,F,9/10/2025,1,True,True,True,<3 horas,Ocasional,True,Primer hijo <30,No hijos,Bajo
5,Joycelin,620959095,43.0,F,9/10/2025,1,False,False,True,>4 horas,Diario,False,No hijos,Primer hijo <30,Bajo
6,Antin,411672499,134.0,M,9/10/2025,1,False,False,True,3-4 horas,Ocasional,False,No hijos,Primer hijo <30,Bajo
7,Sidnee,845580106,64.0,M,9/10/2025,1,True,True,False,>4 horas,Nunca,False,No hijos,Primer hijo >=30,Alto
8,Christabella,155534787,97.0,F,9/10/2025,1,True,False,False,<3 horas,Frecuente,False,Primer hijo <30,Primer hijo <30,Bajo
9,Krystyna,973607815,145.0,F,9/10/2025,1,True,True,False,>4 horas,Ocasional,False,Primer hijo <30,Primer hijo <30,Bajo
10,Jeth,133362594,53.0,M,9/10/2025,1,True,False,False,>4 horas,Frecuente,True,,No hijos,Moderado
11,Blair,553568031,116.0,M,9/10/2025,1,True,False,True,>4 horas,Diario,True,No hijos,Primer hijo >=30,Alto
12,Fedora,731921181,143.0,F,9/10/2025,1,False,False,True,<3 horas,Diario,False,,No hijos,Moderado
13,Justis,854917120,137.0,M,9/10/2025,1,False,True,True,<3 horas,Nunca,True,Primer hijo <30,Primer hijo <30,Bajo
14,Kitty,232253101,52.0,F,9/10/2025,1,True,True,False,Ninguna,Frecuente,True,,Primer hijo <30,Alto
15,Tucker,998448555,12.0,M,9/10/2025,1,False,False,True,3-4 horas,Diario,False,Primer hijo <30,Primer hijo >=30,Bajo
16,Pieter,188200925,29.0,M,9/10/2025,1,False,False,False,<3 horas,Nunca,False,Primer hijo <30,No hijos,Alto
17,Sarge,419080584,116.0,M,9/10/2025,1,True,False,False,<3 horas,Nunca,False,No hijos,Primer hijo >=30,Moderado
18,Drud,578007439,123.0,M,9/10/2025,1,False,False,False,<3 horas,Diario,False,Primer hijo <30,No hijos,Bajo
19,Ilaire,496678115,92.0,M,9/10/2025,1,False,True,True,<3 horas,Diario,True,Primer hijo >=30,No hijos,Bajo
20,Hunt,631681652,129.0,M,9/10/2025,1,True,False,True,>4 horas,Ocasional,True,No hijos,Primer hijo <30,Bajo
21,Kristopher,936949742,4.0,M,9/10/2025,1,False,True,True,Ninguna,Frecuente,False,Primer hijo <30,No hijos,Moderado
