id_paciente,nombre,rut,edad,sexo,fecha_registro,id_medico,FamiliarPrimerGradoCC,FamiliarSegundoGradoCC,DiagnosticoPrevioCancer,Ejercicio,Alcohol,Mamografia,Menstruacion,PrimerHijo,Riesgo
5402,Stacy,978128798,60,M,9/10/2025,1,false,true,true,Ninguna,Diario,false,No hijos,No hijos,Bajo
5970,Bennett,275552986,4,M,9/10/2025,1,true,false,true,,Nunca,true,Primer hijo <30,Primer hijo <30,Bajo
5008,Jereme,430492943,27,M,9/10/2025,1,true,false,false,,Ocasional,true,Primer hijo <30,Primer hijo <30,Bajo
5147,Inez,201636959,56,F,9/10/2025,1,false,false,true,3-4 horas,Nunca,true,Primer hijo >=30,No hijos,Bajo
5706,Cameron,148793738,129,M,9/10/2025,1,false,true,true,Ninguna,Frecuente,true,Primer hijo >=30,Primer hijo <30,Moderado
5604,Druci,473106415,88,F,9/10/2025,1,true,true,false,,Nunca,true,Primer hijo >=30,No hijos,Moderado
5349,Rosalyn,687735124,110,F,9/10/2025,1,true,false,true,<3 horas,Nunca,true,No hijos,Primer hijo <30,Alto
5781,Carolyne,793328821,77,F,9/10/2025,1,false,true,true,>4 horas,Frecuente,true,Primer hijo <30,Primer hijo <30,Bajo
5382,Fairleigh,659864967,111,M,9/10/2025,1,true,false,true,Ninguna,Ocasional,true,Primer hijo >=30,No hijos,Alto
5165,Mark,312698315,20,M,9/10/2025,1,true,false,false,<3 horas,Frecuente,false,,Primer hijo >=30,Bajo
5483,Abbott,581306463,87,M,9/10/2025,1,false,false,true,>4 horas,Frecuente,true,No hijos,No hijos,Bajo
5856,Ramsey,956840734,86,M,9/10/2025,1,true,true,false,>4 horas,Nunca,true,Primer hijo <30,Primer hijo <30,Alto
5361,Hodge,998041956,94,M,9/10/2025,1,true,false,false,>4 horas,Frecuente,false,No hijos,Primer hijo >=30,Moderado
5522,Worthy,543083472,80,M,9/10/2025,1,true,false,true,Ninguna,Diario,true,Primer hijo >=30,No hijos,Moderado
5751,Marcus,558672653,84,M,9/10/2025,1,false,false,false,3-4 horas,Ocasional,true,Primer hijo >=30,Primer hijo >=30,Moderado
5308,Lennie,158663617,150,M,9/10/2025,1,true,false,true,Ninguna,Diario,false,Primer hijo <30,Primer hijo >=30,Bajo
5332,Terri,700059923,89,F,9/10/2025,1,false,false,true,3-4 horas,Diario,true,No hijos,Primer hijo <30,Bajo
5900,Karola,538125883,23,F,9/10/2025,1,false,true,true,Ninguna,Diario,false,,No hijos,Moderado
5274,Giacobo,828967006,68,M,9/10/2025,1,true,false,false,<3 horas,Diario,false,Primer hijo >=30,Primer hijo >=30,Bajo
